mesh 1,mesh 1,mesh 1,score,mean,std. dev.
x,y,z,,,
54,2,1,fission,7.434314812310936e-05,1.804174305158951e-06
55,2,1,fission,7.558490043571155e-05,1.6852160126355515e-06
56,2,1,fission,7.42786195213948e-05,1.5963118471516335e-06
57,2,1,fission,7.550039040582768e-05,1.6917404678435393e-06
58,2,1,fission,7.549752146058836e-05,1.5221016783162653e-06
59,2,1,fission,7.513443186706635e-05,1.583985376128198e-06
60,2,1,fission,7.413323932780949e-05,1.8339598748771175e-06
61,2,1,fission,6.938769230000121e-05,1.5659910620667577e-06
62,2,1,fission,5.0881559535820925e-05,1.2666589487979243e-06
63,2,1,fission,3.0012662495918022e-05,7.68505453515754e-07
64,2,1,fission,1.0751518359598864e-05,3.3998875773249996e-07
65,2,1,fission,0.0,0.0
66,2,1,fission,0.0,0.0
67,2,1,fission,0.0,0.0
68,2,1,fission,0.0,0.0
69,2,1,fission,0.0,0.0
70,2,1,fission,0.0,0.0
71,2,1,fission,0.0,0.0
72,2,1,fission,0.0,0.0
73,2,1,fission,0.0,0.0
74,2,1,fission,0.0,0.0
75,2,1,fission,0.0,0.0
76,2,1,fission,0.0,0.0
77,2,1,fission,0.0,0.0
78,2,1,fission,0.0,0.0
79,2,1,fission,0.0,0.0
80,2,1,fission,0.0,0.0
81,2,1,fission,0.0,0.0
82,2,1,fission,0.0,0.0
83,2,1,fission,0.0,0.0
84,2,1,fission,0.0,0.0
85,2,1,fission,0.0,0.0
86,2,1,fission,0.0,0.0
87,2,1,fission,0.0,0.0
88,2,1,fission,0.0,0.0
89,2,1,fission,0.0,0.0
90,2,1,fission,0.0,0.0
91,2,1,fission,0.0,0.0
92,2,1,fission,0.0,0.0
93,2,1,fission,0.0,0.0
94,2,1,fission,0.0,0.0
95,2,1,fission,0.0,0.0
96,2,1,fission,0.0,0.0
97,2,1,fission,0.0,0.0
98,2,1,fission,0.0,0.0
99,2,1,fission,0.0,0.0
100,2,1,fission,0.0,0.0
1,3,1,fission,0.0,0.0
2,3,1,fission,0.0,0.0
3,3,1,fission,0.0,0.0
4,3,1,fission,0.0,0.0
5,3,1,fission,0.0,0.0
6,3,1,fission,0.0,0.0
7,3,1,fission,0.0,0.0
8,3,1,fission,0.0,0.0
9,3,1,fission,0.0,0.0
10,3,1,fission,0.0,0.0
11,3,1,fission,0.0,0.0
12,3,1,fission,0.0,0.0
13,3,1,fission,0.0,0.0
14,3,1,fission,0.0,0.0
15,3,1,fission,0.0,0.0
16,3,1,fission,0.0,0.0
17,3,1,fission,0.0,0.0
18,3,1,fission,0.0,0.0
19,3,1,fission,0.0,0.0
20,3,1,fission,0.0,0.0
21,3,1,fission,0.0,0.0
22,3,1,fission,0.0,0.0
23,3,1,fission,0.0,0.0
24,3,1,fission,0.0,0.0
25,3,1,fission,0.0,0.0
26,3,1,fission,0.0,0.0
27,3,1,fission,0.0,0.0
28,3,1,fission,0.0,0.0
29,3,1,fission,0.0,0.0
30,3,1,fission,0.0,0.0
31,3,1,fission,0.0,0.0
32,3,1,fission,0.0,0.0
33,3,1,fission,4.31130312439327e-08,5.458047442843472e-09
34,3,1,fission,1.6446057304593953e-05,4.989571400944347e-07
35,3,1,fission,4.121712062013556e-05,1.0342015722504178e-06
36,3,1,fission,6.485698873550794e-05,1.7016813716894774e-06
37,3,1,fission,7.766003626509502e-05,1.7758358330219287e-06
38,3,1,fission,7.546541092049275e-05,1.595526175125531e-06
39,3,1,fission,7.607267695913015e-05,1.6677898253644495e-06
40,3,1,fission,7.873853736925623e-05,1.7847885165518736e-06
41,3,1,fission,7.846396350519444e-05,1.8271372396809242e-06
42,3,1,fission,7.805515999108203e-05,1.664921917440796e-06
43,3,1,fission,7.788140557670495e-05,1.866172779642058e-06
44,3,1,fission,7.643501728861009e-05,1.5105771565978428e-06
45,3,1,fission,7.557628569305066e-05,1.7079752570822013e-06
46,3,1,fission,7.700044873954773e-05,1.845264030317892e-06
47,3,1,fission,7.57054699991116e-05,1.9054345498406921e-06
48,3,1,fission,7.320319195220828e-05,1.9108697259818895e-06
49,3,1,fission,7.35322801655682e-05,1.5384033898934066e-06
50,3,1,fission,7.317197042287928e-05,1.5073216840459473e-06
51,3,1,fission,7.617708573080708e-05,1.8629893372642783e-06
52,3,1,fission,7.696310718908033e-05,1.8392726179393138e-06
53,3,1,fission,7.716874103726678e-05,1.8321639172597982e-06
54,3,1,fission,7.572915721628173e-05,1.6700861373487653e-06
55,3,1,fission,7.870301880729858e-05,1.6484724557210638e-06
56,3,1,fission,7.790845299585547e-05,1.6842838880785057e-06
57,3,1,fission,7.63932838655081e-05,1.6896149578624469e-06
58,3,1,fission,7.624906525756641e-05,1.5118658327169185e-06
59,3,1,fission,7.352392625892205e-05,1.5929900032073305e-06
60,3,1,fission,7.41057941823763e-05,1.6290905533398029e-06
61,3,1,fission,7.356000017728674e-05,1.6018289418755785e-06
62,3,1,fission,7.46965414277687e-05,1.9773962285514627e-06
63,3,1,fission,7.440165199702989e-05,1.766409727529786e-06
64,3,1,fission,7.648592609165063e-05,1.8396615125020848e-06
65,3,1,fission,6.316815101173876e-05,1.667050296685028e-06
66,3,1,fission,4.3249403596477154e-05,1.2186165984182773e-06
67,3,1,fission,1.5416962967444604e-05,4.4553420596804e-07
68,3,1,fission,5.325541801756009e-08,6.8026688511916414e-09
69,3,1,fission,0.0,0.0
70,3,1,fission,0.0,0.0
71,3,1,fission,0.0,0.0
72,3,1,fission,0.0,0.0
73,3,1,fission,0.0,0.0
74,3,1,fission,0.0,0.0
75,3,1,fission,0.0,0.0
76,3,1,fission,0.0,0.0
77,3,1,fission,0.0,0.0
78,3,1,fission,0.0,0.0
79,3,1,fission,0.0,0.0
80,3,1,fission,0.0,0.0
81,3,1,fission,0.0,0.0
82,3,1,fission,0.0,0.0
83,3,1,fission,0.0,0.0
84,3,1,fission,0.0,0.0
85,3,1,fission,0.0,0.0
86,3,1,fission,0.0,0.0
87,3,1,fission,0.0,0.0
88,3,1,fission,0.0,0.0
89,3,1,fission,0.0,0.0
90,3,1,fission,0.0,0.0
91,3,1,fission,0.0,0.0
92,3,1,fission,0.0,0.0
93,3,1,fission,0.0,0.0
94,3,1,fission,0.0,0.0
95,3,1,fission,0.0,0.0
96,3,1,fission,0.0,0.0
97,3,1,fission,0.0,0.0
98,3,1,fission,0.0,0.0
99,3,1,fission,0.0,0.0
100,3,1,fission,0.0,0.0
1,4,1,fission,0.0,0.0
2,4,1,fission,0.0,0.0
3,4,1,fission,0.0,0.0
4,4,1,fission,0.0,0.0
5,4,1,fission,0.0,0.0
6,4,1,fission,0.0,0.0
7,4,1,fission,0.0,0.0
8,4,1,fission,0.0,0.0
9,4,1,fission,0.0,0.0
10,4,1,fission,0.0,0.0
11,4,1,fission,0.0,0.0
12,4,1,fission,0.0,0.0
13,4,1,fission,0.0,0.0
14,4,1,fission,0.0,0.0
15,4,1,fission,0.0,0.0
16,4,1,fission,0.0,0.0
17,4,1,fission,0.0,0.0
18,4,1,fission,0.0,0.0
19,4,1,fission,0.0,0.0
20,4,1,fission,0.0,0.0
21,4,1,fission,0.0,0.0
22,4,1,fission,0.0,0.0
23,4,1,fission,0.0,0.0
24,4,1,fission,0.0,0.0
25,4,1,fission,0.0,0.0
26,4,1,fission,0.0,0.0
27,4,1,fission,0.0,0.0
28,4,1,fission,0.0,0.0
29,4,1,fission,0.0,0.0
30,4,1,fission,0.0,0.0
31,4,1,fission,5.898558603185703e-06,2.3342753861724954e-07
32,4,1,fission,3.435570048668368e-05,9.246058070688414e-07
33,4,1,fission,6.492575023399074e-05,1.7863172099537974e-06
34,4,1,fission,7.717176961826216e-05,1.756661815345902e-06
35,4,1,fission,7.604465550297317e-05,1.545583349679885e-06
36,4,1,fission,7.669085127862085e-05,1.7703726434842396e-06
37,4,1,fission,7.53453165628481e-05,1.8212669381272482e-06
38,4,1,fission,7.66361433191912e-05,1.6950684770874712e-06
39,4,1,fission,7.412748978785237e-05,1.785001964404156e-06
40,4,1,fission,7.871417802782765e-05,1.9896540855402922e-06
41,4,1,fission,7.544847821007415e-05,1.913926212199232e-06
42,4,1,fission,7.363594034985897e-05,1.8154226072846308e-06
43,4,1,fission,7.450948168452935e-05,1.8114079153602515e-06
44,4,1,fission,7.630803859234915e-05,1.9056351669962652e-06
45,4,1,fission,7.440622684434107e-05,1.7127698210629547e-06
46,4,1,fission,7.515970988223357e-05,1.7186617074491075e-06
47,4,1,fission,7.4633827295599e-05,1.7314718487509443e-06
48,4,1,fission,7.641894681798285e-05,1.8539973668990375e-06
49,4,1,fission,7.503627153397188e-05,1.822631085263782e-06
50,4,1,fission,7.554717085382828e-05,1.6260158000904596e-06
51,4,1,fission,7.444588747396294e-05,1.6312918763645826e-06
52,4,1,fission,7.646007070209852e-05,1.8316240473875113e-06
53,4,1,fission,7.736966547835052e-05,1.6077950130389456e-06
54,4,1,fission,7.679137043884657e-05,1.8666314729637108e-06
55,4,1,fission,7.85664193874542e-05,1.7528294328327708e-06
56,4,1,fission,7.796126569302988e-05,1.5896412706366691e-06
57,4,1,fission,7.764789947169164e-05,1.9522962654829878e-06
58,4,1,fission,7.570231213312013e-05,1.7724449202355095e-06
59,4,1,fission,7.723503192404491e-05,1.672248615305462e-06
60,4,1,fission,7.688952664040777e-05,1.5134891030750695e-06
61,4,1,fission,7.394740960896406e-05,1.4515963288650172e-06
62,4,1,fission,7.455282303294213e-05,1.4553632169614527e-06
63,4,1,fission,7.304115961534403e-05,1.6377555409763527e-06
64,4,1,fission,7.375320567989432e-05,1.8250238400341509e-06
65,4,1,fission,7.586114424080846e-05,2.0882965709630994e-06
66,4,1,fission,7.577762208110987e-05,1.9610394931834453e-06
67,4,1,fission,7.773288245688217e-05,1.651715408494764e-06
