N,batch,particle,Mean value,Std ensemble,Relative std,Mean time,FoM
1000000,100,10000,0.572026527946085,0.0007722632603700366,0.0013500479831642083,38.068010770149996,14412.569273149958
5000000,100,50000,0.5718983368442646,0.0005889084764932238,0.0010297432927376937,90.78453839312499,10387.957559232978
10000000,100,100000,0.5718649453450634,0.0004935920874178144,0.0008631270222726816,153.04663122595,8770.549388398747
50000000,100,500000,0.5718606379416532,0.0004292233046020118,0.000750573262302074,458.84836048318755,3868.5181323991337
