N,batch,particle,fission_mean,fission_std,fission_sem,fission_rel_sigma,heating_mean,heating_std,heating_sem,heating_rel_sigma
1000000,100,10000,0.572026527946085,0.0007722632603700366,0.00017268331467130212,0.0003018799063241661,100745897.0697031,135966.428471614,30403.017672039172,0.0003017792144031853
5000000,100,50000,0.5717701457424441,0.00028441776975264885,6.359774671758064e-05,0.00011122956871943515,100700692.92093205,50126.120308293466,11208.54124576769,0.00011130550267979176
10000000,100,100000,0.5717981623466607,0.00019396719159917651,4.3372382582048484e-05,7.585260925646936e-05,100705568.13990721,34180.19978775635,7642.925020994708,7.589376796302486e-05
50000000,100,500000,0.5718477157314233,9.612773879323817e-05,2.1494815846502414e-05,3.7588356576731995e-05,100714323.68064526,16914.370527787447,3782.1682296751724,3.755342925866273e-05
